type w q nm qr ed no co qe eqe qre eqre rq rqr dq dqr
fw 122 0.27625 3 0.3 20 13 0.118343195266 0.347278105555 0.00466568439966 0.358144974501 0.0114810981945 155 171.5 -0.071028105555 -0.058144974501
fw 123 0.235 3 0.2 20 12 0.138888888889 0.312323690301 0.00436610713401 0.309419476585 0.0110077345038 109 134.5 -0.077323690301 -0.109419476585
fw 124 0.319444444444 2 0.666666666667 6 7 0.122448979592 0.307197659416 0.00954472698842 0.579183931188 0.0196622926351 199 266 0.012246785028 0.087482735479
fw 125 0.310964083176 3 0.391304347826 23 14 0.117346938776 0.345174168308 0.00437462995378 0.327372130722 0.0107292606605 191 202 -0.034210085132 0.063932217104
fw 126 0.404300567108 5 0.260869565217 46 25 0.0736 0.385233063217 0.00295034868343 0.272329030637 0.00750036306034 259 157 0.019067503891 -0.01145946542
fw 127 0.378775510204 4 0.542857142857 35 22 0.0723140495868 0.403333778242 0.00358901510692 0.337616087736 0.00873027929234 243 246.5 -0.024558268038 0.205241055121
fw 128 0.37669094693 5 0.290322580645 31 22 0.0640495867769 0.431664583535 0.00395824405851 0.393622462365 0.00894286955228 242 168 -0.054973636605 -0.10329988172
fw 129 0.314049586777 3 0.363636363636 22 15 0.0977777777778 0.372529659363 0.00451436661032 0.365448986137 0.0109132236583 193 190.5 -0.058480072586 -0.00181262250100001
fw 130 0.271604938272 2 0.555555555556 18 12 0.125 0.33689244181 0.00501777145093 0.357972513056 0.0118890251168 148 251.5 -0.065287503538 0.1975830425
fw 131 0.310546875 3 0.5 16 12 0.111111111111 0.356791251264 0.00550182370978 0.401617556087 0.0129357763328 190 231.5 -0.046244376264 0.098382443913
fw 132 0.116343490305 2 0.368421052632 19 9 0.234567901235 0.230601167539 0.00418634846563 0.240518848555 0.0125796513374 16 193 -0.114257677234 0.127902204077
fw 133 0.512396694215 5 0.454545454545 22 18 0.0679012345679 0.436633055208 0.00464268449953 0.445983783245 0.0105390912531 284 220 0.075763639007 0.00856167130000002
fw 134 0.334022038567 4 0.242424242424 66 30 0.0733333333333 0.364271857653 0.00251933860239 0.20046837903 0.00638059054249 210 152 -0.030249819086 0.041955863394
fw 135 0.354080578512 5 0.227272727273 44 25 0.0704 0.398021196723 0.00328862369228 0.297097448835 0.00799059108648 221 145 -0.043940618211 -0.069824721562
fw 136 0.393775510204 4 0.371428571429 70 33 0.0642791551882 0.382185023742 0.00238682621495 0.212416395664 0.00591344077748 255 195 0.011590486462 0.159012175765
fw 137 0.285123966942 3 0.454545454545 11 9 0.135802469136 0.31823736705 0.00617771393456 0.430643472858 0.0150369834378 166 220 -0.033113400108 0.023901981687
fw 138 0.35798816568 4 0.384615384615 13 12 0.0902777777778 0.393142871489 0.00620848043551 0.482712267749 0.0140425404179 225 198 -0.035154705809 -0.098096883134
fw 139 0.143377777778 3 -0.04 75 18 0.231481481481 0.196763136102 0.00187375545357 0.00441813892083 0.0077930680624 33 42 -0.053385358324 -0.04441813892083
fw 140 0.339285714286 3 0.428571428571 28 19 0.0775623268698 0.397471999588 0.00399080523029 0.359777618081 0.00959348079262 214 212.5 -0.058186285302 0.06879381049
fw 141 0.108436992969 3 -0.116279069767 43 16 0.16796875 0.255009858285 0.0028021980787 0.128055821329 0.0090261575581 13 21 -0.146572865316 -0.244334891096
fw 142 0.179012345679 2 0.555555555556 18 10 0.18 0.267142772809 0.00454581558426 0.273591640144 0.0123005435784 59 251.5 -0.08813042713 0.281963915412
fw 143 0.19575962539 4 -0.0967741935484 62 21 0.140589569161 0.267639853493 0.00224765787966 0.0846626806772 0.00728072851379 75 25 -0.071880228103 -0.1814368742256
fw 144 0.42138671875 5 0.375 32 22 0.0661157024793 0.423524691447 0.0037094679436 0.380484254137 0.00874002601073 270 196 -0.002137972697 -0.00548425413699999
fw 145 0.326515293676 4 0.232876712329 73 29 0.0868014268728 0.329485464436 0.00216929582143 0.142296397664 0.00598746047516 206 148 -0.00297017076 0.090580314665
fw 146 0.345588235294 4 0.235294117647 34 20 0.085 0.381819125315 0.00360589834596 0.313934083542 0.00882926248787 216 149 -0.036230890021 -0.078639965895
fw 147 0.197066326531 4 -0.0714285714286 28 14 0.142857142857 0.298783911157 0.00369328176589 0.243046085061 0.0104466456384 78 32 -0.101717584626 -0.3144746564896
fw 148 0.36083984375 3 0.4375 32 16 0.125 0.319481112485 0.00338565172732 0.245507916877 0.00943642866094 229 216 0.041358731265 0.191992083123
fw 149 0.26025390625 3 0.1875 32 17 0.110726643599 0.338102079542 0.00354368740948 0.269011848348 0.00933619070954 138 127 -0.077848173292 -0.081511848348
fw 150 0.153333333333 4 -0.0666666666667 15 10 0.15 0.303072474079 0.00537583490186 0.346239347084 0.0134834842236 41 33.5 -0.149739140746 -0.4129060137507
fw 151 0.425154320988 4 0.444444444444 36 21 0.0816326530612 0.380420617671 0.0033879657967 0.301834166154 0.00863678372485 272 217 0.044733703317 0.14261027829
fw 152 0.214285714286 3 0.142857142857 14 9 0.172839506173 0.277933523716 0.00556234855162 0.32312400676 0.0135395441678 97 109.5 -0.06364780943 -0.180266863903
fw 153 0.463667820069 3 0.764705882353 17 14 0.0867346938776 0.404413246433 0.00517233777769 0.449650079617 0.0119879321551 279 276 0.059254573636 0.315055802736
fw 154 0.2421875 4 0.0833333333333 24 13 0.14201183432 0.304411158372 0.00396154527132 0.266698595347 0.0103058451437 122 91 -0.062223658372 -0.1833652620137
fw 155 0.367626886145 4 0.259259259259 27 16 0.10546875 0.354779377186 0.00396913225186 0.312120756687 0.00995296053034 236 156 0.012847508959 -0.052861497428
fw 156 0.478596908442 3 0.862068965517 29 21 0.0657596371882 0.432933382997 0.00433926189873 0.403600310863 0.00996655504628 280 287 0.045663525445 0.458468654654
fw 157 0.2824 4 0.2 25 15 0.111111111111 0.343380362619 0.00412163164005 0.309665355846 0.0102236644709 161 134.5 -0.060980362619 -0.109665355846
fw 158 0.302959183673 3 0.485714285714 70 27 0.0960219478738 0.31882988438 0.00220443184717 0.136435931152 0.00631276764586 182 225 -0.015870700707 0.349278354562
fw 159 0.281163434903 3 0.263157894737 19 12 0.131944444444 0.32858302797 0.00469328556657 0.339359954965 0.0119330737574 159 159 -0.047419593067 -0.076202060228
